Type,Name,Status,Score /5,Author,Completed Date,Publisher,Publishing/Release Date,Link,Summary,Comments,Order
Pluralsight,Learn to Program with C++ 17,Finished,⭐️⭐️⭐️⭐️⭐️,Kate Gregory,"February 19, 2023",Pluralsight,"February 19, 2020",https://app.pluralsight.com/library/courses/learn-program-cplusplus/table-of-contents,"If you've never programmed before, and you think you'd like to learn C++, why not learn it first? This course covers what you need to start writing real applications in C++.",,
YouTube,"Watch ""Is The Unix Philosophy Still Important?"" on YouTube",Finished,⭐️⭐️⭐️⭐️,,,,,,Software should do one thing really well argument.,,
edX,CS50W User Interfaces,Finished,⭐️⭐️⭐️⭐️,Brian Yu,,HarvardX,,,,,
edX,CS50W JavaScript,Finished,⭐️⭐️⭐️⭐️,Brian Yu,,HarvardX,,,,,
edX,"CS50W SQL, Models, and Migrations",Finished,⭐️⭐️⭐️⭐️,Brian Yu,,HarvardX,,,,,
edX,CS50W Django,Finished,⭐️⭐️⭐️⭐️,Brian Yu,,HarvardX,,,,,
edX,CS50W Python,Finished,⭐️⭐️⭐️⭐️,Brian Yu,,HarvardX,,,,,
edX,CS50W Git,Finished,⭐️⭐️⭐️⭐️,Brian Yu,,HarvardX,,,,,
edX,CS50W https://learning.edx.org/course/course-v1:HarvardX+CS50W+Web/block-v1:HarvardX+CS50W+Web+type@sequential+block@2adc64be866f4d8e99eaf5910ba40f7e,Finished,⭐️⭐️⭐️⭐️,Brian Yu,,HarvardX,,,,,
edX,CS50W Intro,Finished,⭐️⭐️⭐️⭐️,Brian Yu,,HarvardX,,,,,
Pluralsight,https://app.pluralsight.com/courses/97da0329-ec9b-4b42-a0be-d6d42a5582e3/table-of-contents,Finished,⭐️⭐️⭐️⭐️⭐️,"Dan Wahlin, John Papa",,Pluralsight,"September 1, 2021",https://app.pluralsight.com/library/courses/typescript-fundamentals/table-of-contents,This course will teach you the key concepts and features needed to get started with TypeScript and use it to build large (and small) scale applications.,,
Technical Book,Third Party JavaScript,Finished,,,,,,,,,
Pluralsight,C++ Fundamentals Including C++ 17,Watching,,Kate Gregory,,Pluralsight,"May 1, 2018",https://app.pluralsight.com/library/courses/cplusplus-fundamentals-c17/table-of-contents,"If C++ scares you, or you've heard that it's a difficult language, this course will show you how easy Modern C++ can be. It's a powerful language that works on a huge variety of platforms and has useful features that other languages don't have.",,
Pluralsight,Rust Fundamentals,On Hold,,Edward Curren,,Pluralsight,"January 25, 2022",https://app.pluralsight.com/library/courses/fundamentals-rust/table-of-contents,"With its low overhead and high performance cross platform development, Rust is a great language for systems programming, embedded development and web programming. This course will teach you everything you need to know to become a Rust developer.",,
Pluralsight,C# 10 Advanced Language Features,On Hold,,Filip Ekberg,,Pluralsight,"March 30, 2022",https://app.pluralsight.com/library/courses/c-sharp-10-language-features-advanced/table-of-contents,"Learn how to best use the advanced language features of C# . This course will teach you how to apply each of them in a real application, as well as where they are best suited.",,
Nonfiction Book,Outliers: The Story of Success,On Hold,,Malcome Gladwell,,,"January 1, 2008",,,,
C# Playlist O'Reilly,C# 8.0 Pocket Reference,On Hold,,,,O'Reilly Media,,https://learning.oreilly.com/library/view/c-80-pocket/9781492051206/ch01.html,,,15
Audiobook,Think Better: An Innovator's Guide to Productive Thinking,Won't Finish,,Tim Hurson,,McGraw-Hill,"March 1, 2010",https://learning.oreilly.com/library/view/think-better-an/9780071754750/,"There are thousands of books about thinking. But there are very few books that provide clear how-to information that can actually help you think better.
Think Better is about Productive Thinking — why it’s important, how it works, and how to use it at work, at home, and at play. Productive Thinking is a game changer — a practical, easy-to-learn, repeatable process that helps people understand more clearly, think more creatively, and plan more effectively. It's based on the thinking strategies that people we celebrate for their creativity have been using for centuries. Tim Hurson brings Productive Thinking out of the closet and presents it in a way that makes it easy for anyone to grasp and use — so you can think better, work better, and do better in every aspect of your life.
Think Better demonstrates how you can start with an intractable technical problem, an unmet consumer need, or a gaping chasm in your business strategy and, by following a clearly defined, practical thinking process, arrive at a robust, innovative solution. Many companies use the Productive Thinking model to generate fresh solutions for tough business problems, and many individuals rely on it to solve pressing personal problems.
The principles you'll find in Think Better are straight-forward: separate your thinking into creative thinking and critical thinking; stay with the question; strive for the “third third” by generating lots and lots of ideas; and look for unexpected connections.
The model consists of six interlocking steps:
Step 1:What's Going On? Explore and truly understand the challenge.
Step 2: What's Success? Envision the ideal outcome and establish success criteria.
Step 3: What's the Question? Pinpoint the real problem or opportunity.
Step 4: Generate Answers List many possible solutions.
Step 5: Forge the Solution Decide which solution is best. Then make it better.
Step 6: Align Resources Create an action plan.
Tim Hurson starts by explaining how we all build inner barriers to effective thinking. He identifies our habits of thinking that severely limit our behavior, from “monkey mind” to “gator brain.” Then he demonstrates how to overcome these barriers.
More than anything, productive thinking is an attitude that will let you look at problems and convert them into opportunities. At the end of this disciplined brainstorming process, you'll have a concrete action plan, complete with timelines and deadlines.
The book is filled with many of Hurson's original brainstorming tools that will empower you to generate, organize, and process ideas. For example, you can identify your best ideas using the five C's: Cull, Cluster, Combine, Clarify and Choose. And you can transform an embryonic idea into a robust solution with POWER, which stands for Positives, Objections, What else?, Enhancements and Remedies.
To create the future, you first must be able to imagine it. Productive thinking is a way to help you do that.",,
Pluralsight,Fundamentals of Building .NET 5 Desktop Applications,Won't Finish,,Thomas Huber,,Pluralsight,"April 19, 2021",https://app.pluralsight.com/library/courses/fundamentals-building-dot-net-desktop-applications/table-of-contents,"To build a desktop app with .NET and C#, you can choose between different UI frameworks. This course teaches you what UI frameworks you can use and how to build .NET desktop apps for Windows with WinUI, WPF, and Windows Forms.",,
edX,CS50G Intro to Game Development w/ Pong,Won't Finish,,Colton Ogden,,HarvardX,,,,,
Pluralsight,SQL Server Fundamentals,Won't Finish,,Dan Sullivan,,Pluralsight,"June 10, 2010",https://app.pluralsight.com/library/courses/sql-server-fundamentals/table-of-contents,"Using T-SQL, the CLR, XML, managing SQL Server operations and security in SQL Server",,
FireShip.io,The Angular Firebase Project Course,Won't Finish,,,,,,,,,
Training Video,https://cs50.harvard.edu/x/2022/seminars/#foldabledual-screen-form-factors,Won't Finish,⭐️,,,Pluralsight,,https://video.cs50.io/Qx4oysjcyPg,"Thinking about CS50 final project ideas, come learn about foldable mobile devices from the developers at Microsoft. Foldable mobile devices facilitate unique user experiences, especially around multitasking and pen input. Learn about the dual-screen Surface Duo 2 and how to build web apps that can adapt to two screens using web standard CSS and JavaScript. You can build and test fold-aware designs on the desktop, and optionally test with an Android emulator. You can even ship progressive web apps (PWAs) via Google Play, like any other Android app.",,
Technical Book,REST in Practice,Won't Finish,⭐️⭐️,,,,,,Outdated,,
